Category,Price (INR)_mean,Price (INR)_median,Price (INR)_std,Price (INR)_min,Price (INR)_max,Rating_mean,Rating_median,Rating_std,Rating_min,Rating_max,Rating Count_mean,Rating Count_median,Rating Count_std,Rating Count_min,Rating Count_max
 Desi Ghee Sweets,580.87,600.0,263.22,245.0,1180.0,4.75,4.8,0.24,4.2,5.0,27.87,23.0,22.4,4.0,83.0
( Chinese),115.0,120.0,37.75,75.0,150.0,2.73,3.0,0.64,2.0,3.2,3.0,3.0,0.0,3.0,3.0
(Sides),75.0,75.0,,75.0,75.0,4.0,4.0,,4.0,4.0,5.0,5.0,,5.0,5.0
*New* High-Protein Rice Bowls,199.0,199.0,0.0,199.0,199.0,4.52,4.6,0.42,3.8,5.0,3.83,3.0,3.06,2.0,10.0
*New* High-Protein Roti Meals,299.0,299.0,0.0,299.0,299.0,3.75,3.75,0.07,3.7,3.8,5.0,5.0,2.83,3.0,7.0
1 + 1 BOGO @ 179 each [CouponsÂ Applicable],358.0,358.0,0.0,358.0,358.0,4.5,4.5,0.14,4.4,4.6,7.0,7.0,5.66,3.0,11.0
1 + 1 BOGO Biryani at 179 Each,369.67,299.0,83.8,299.0,458.0,3.92,3.9,0.56,2.8,4.8,2.11,2.0,1.05,1.0,4.0
1 Plus 1 @ 169 each,438.0,438.0,141.42,338.0,538.0,3.8,3.8,0.85,3.2,4.4,6.5,6.5,6.36,2.0,11.0
1/2 Kg Cakes,1241.67,1205.0,63.51,1205.0,1315.0,4.97,5.0,0.06,4.9,5.0,5.33,4.0,2.31,4.0,8.0
1/2kg Cakes,590.0,590.0,100.0,490.0,690.0,4.66,4.8,0.3,4.3,5.0,63.0,58.0,30.63,32.0,107.0
"10"" LARGE PIZZAS | NON-VEG",480.43,499.0,99.32,349.0,799.0,4.68,4.75,0.34,3.6,5.0,6.93,4.0,8.76,1.0,39.0
"10"" LARGE PIZZAS | VEG",409.69,369.0,107.97,299.0,799.0,4.51,4.6,0.37,3.3,5.0,8.48,5.0,8.98,1.0,36.0
100 ML Ice Cream Cups (Serve 1),92.37,92.37,0.0,92.37,92.37,4.5,4.5,0.19,4.2,4.7,1.0,1.0,0.0,1.0,1.0
100 Ml Ice Creams,84.55,80.51,9.82,76.27,101.69,4.59,4.6,0.33,2.5,5.0,164.51,128.0,164.2,1.0,853.0
100 ml Ice creams,85.43,80.51,10.21,76.27,101.69,4.62,4.7,0.28,3.7,5.0,32.81,20.0,34.22,1.0,193.0
100% Whole Wheat Breads,105.0,102.5,12.25,95.0,120.0,4.7,4.75,0.22,4.4,4.9,19.75,22.0,9.88,6.0,29.0
1kg Regular Cake,1134.5,1177.0,186.06,900.0,1284.0,4.65,4.65,0.13,4.5,4.8,17.5,16.0,9.29,8.0,30.0
2 Bowls @ 99 each,349.0,349.0,54.77,299.0,399.0,4.67,4.6,0.18,4.5,5.0,2.5,1.5,2.35,1.0,7.0
2 Burgers @ Rs 139,262.42,213.0,120.39,129.0,498.0,4.27,4.35,0.34,3.7,5.0,190.92,113.0,227.89,4.0,780.0
2 Kg Dum Biryani,1349.0,1349.0,212.13,1199.0,1499.0,3.55,3.55,1.63,2.4,4.7,2.5,2.5,0.71,2.0,3.0
2 Value Biryanis @ 99 each,270.43,199.0,125.36,199.0,499.0,4.43,4.3,0.35,4.1,5.0,11.29,10.0,12.45,1.0,37.0
2PC Breakfast Meal,171.96,181.0,31.55,114.0,215.24,4.64,4.8,0.36,3.8,5.0,7.59,3.0,9.4,1.0,36.0
2Pcs Combos at 99,197.69,199.0,36.46,118.0,259.0,4.07,4.1,0.47,2.1,5.0,25.8,8.0,49.72,1.0,298.0
2X Cheese Pizza,527.24,539.0,61.11,439.0,639.0,4.32,4.4,0.54,2.7,5.0,6.3,4.5,5.02,1.0,21.0
3 Layer Rice Bowl,308.9,304.0,33.07,262.0,375.0,4.4,4.5,0.47,2.6,5.0,34.75,18.0,44.04,1.0,202.0
3PC Breakfast Meal,214.69,215.0,28.43,178.0,250.48,4.53,4.6,0.42,3.7,5.0,21.62,15.0,20.25,2.0,63.0
41 grams Protein Rolls,259.0,259.0,,259.0,259.0,4.6,4.6,,4.6,4.6,1.0,1.0,,1.0,1.0
450 ML Ice Cream Tubs (Serve 4-5),283.05,291.52,20.17,253.39,295.76,4.38,4.5,0.32,3.9,4.6,1.25,1.0,0.5,1.0,2.0
5 Course Chicken Feast,307.3,301.05,12.45,301.05,331.05,4.12,4.1,0.43,2.8,5.0,2.04,1.0,1.65,1.0,7.0
5 Course Pizza Feast,237.35,241.05,33.5,191.05,361.0,4.38,4.4,0.43,2.7,5.0,6.46,3.0,8.42,1.0,44.0
500 Ml Ice Creams,331.79,296.61,40.68,296.61,402.54,4.5,4.6,0.44,2.3,5.0,172.41,87.0,195.19,1.0,791.0
500 ml Ice creams,337.5,330.51,41.04,296.61,402.54,4.59,4.7,0.42,2.7,5.0,40.38,26.0,46.94,1.0,270.0
5Pcs Combos at 199,326.56,325.0,22.06,279.0,345.0,4.21,4.2,0.51,3.5,5.0,1.56,1.0,0.73,1.0,3.0
"7"" REGULAR PIZZAS | NON-VEG",272.79,299.0,58.33,199.0,399.0,4.55,4.6,0.44,2.8,5.0,20.24,6.0,44.53,1.0,219.0
"7"" REGULAR PIZZAS | VEG",263.71,229.0,65.98,199.0,449.0,4.37,4.5,0.51,2.4,5.0,7.91,4.0,9.3,1.0,34.0
70 mm Dosa's,121.75,129.0,14.5,100.0,129.0,4.3,4.2,0.27,4.1,4.7,137.0,101.0,107.48,54.0,292.0
750 Ml Ice Creams,405.31,381.36,42.52,381.36,487.29,4.84,4.9,0.18,4.4,5.0,54.78,30.0,66.5,1.0,205.0
